citation,ref_year,ref_author,reference_id
"Baldwin, J.N., Knudsen, K.L., Lee, A., Prentice, C.S., and Gross, R., 2000, Preliminary estimate of coseismic displacement of the penultimate earthquake on the northern San Andreas fault, Pt. Arena, California, <i>in</i> Bokelmann, G., and Kovach, R.L., eds., Proceedings of the Third Conference on Tectonic Problems of the San Andreas system: Palo Alto, California, Stanford University Publications, p. 355-368.",2000,"Baldwin, J.N., Knudsen, K.L., Lee, A., Prentice, C.S., and Gross, R.",1b
"Brown, R.D., Jr., and Wolfe, E.W., 1972, Map showing recently active breaks along the San Andreas fault between Point Delgada and Bolinas Bay, California: U.S. Geological Survey Miscellaneous Investigations Map I-692, 2 sheets, scale 1:24,000.",1972,"Brown, R.D., Jr., and Wolfe, E.W.",1b
"Clark, J.C., and Brabb, E.E., 1997, Geology of Point Reyes National Seashore and vicinity, California—A digital database: U.S. Geological Survey Open-File Report 97-456, 17 p., scale 1:24,000.",1997,"Clark, J.C., and Brabb, E.E.",1b
"Galloway, A.J., 1977, Geology of the Point Reyes Peninsula, Marin County, California: California Division of Mines and Geology Bulletin 202, 72 p., scale 1:48,000.",1977,"Galloway, A.J.",1b
"Hall, N.T., Hay, E.A., and Cotton, W.R., 1986, Investigation of the San Andreas fault and the 1906 earthquake, Marin County, California: Technical report to U.S. Geological Survey, Reston, Virginia, under Contract 14-08-0001-21242, 45 p.",1986,"Hall, N.T., Hay, E.A., and Cotton, W.R.",1b
"Jennings, C.W., 1994, Fault activity map of California and adjacent areas, with locations of recent volcanic eruptions: California Division of Mines and Geology Geologic Data Map 6, 92 p., 2 pls., scale 1:750,000.",1994,"Jennings, C.W.",1b
"Knudsen, K.L., Witter, R.C., Garrison-Laney, C.E., Baldwin, J.N., and Carver, G.A., 2002, Past earthquake-induced rapid subsidence along the northern San Andreas fault—A paleoseismological method for strike-slip faults: Bulletin of the Seismological Society of America, Special Issue on Paleoseismology of the San Andreas Fault System, v. 92, no. 7, p. 2612-2636.",2002,"Knudsen, K.L., Witter, R.C., Garrison-Laney, C.E., Baldwin, J.N., and Carver, G.A.",1b
"Langridge, R.M., and Prentice, C.S., 2000, Mid-Holocene slip rate on the San Andreas fault near Fort Ross, California [abs.]: Seismological Research Letters, v. 71, no. 1, p. 228.",2000,"Langridge, R.M., and Prentice, C.S.",1b
"Lawson, A.C., chairman, 1908, The California earthquake of April 18, 1906—Report of the State Earthquake Investigation Commission: Washington, D.C., Carnegie Institution of Washington Publication 87.",1908,"Lawson, A.C., chairman",1b
"Niemi, T.M., 1992, Late Holocene slip rate, prehistoric earthquakes, and Quaternary neotectonics of the northern San Andreas fault, Marin County, California: Palo Alto, California, Stanford University, unpublished Ph.D. dissertation, 199 p.",1992,"Niemi, T.M.",1b
"Niemi, T.M., and Hall, N.T., 1992, Late Holocene slip rate and recurrence of great earthquakes on the San Andrea fault in northern California: Geology, v. 20, no. 3, p. 196-198.",1992,"Niemi, T.M., and Hall, N.T.",1b
"Noller, J.S., Simpson, G.D., and Lightfoot, K., 1996, Paleoseismic and geoarchaeologic investigations of the northern San Andreas fault, Fort Ross, California, <i>in</i> National Earthquake Hazards Reduction Program, Summaries of technical reports: U.S. Geological Survey, National Earthquake Hazards Reduction Program
External Research Program, Annual Project Summaries, v. 37, http://erp-web.er.usgs.gov/reports/annsum/vol37/nc/g2474.htm.",1996,"Noller, J.S., Simpson, G.D., and Lightfoot, K.",1b
"Petersen, M.D., Bryant, W.A., Cramer, C.H., Cao, T., Reichle, M.S., Frankel, A.D., Lienkaemper, J.J., McCrory, P.A., and Schwartz, D.P., 1996, Probabilistic seismic hazard assessment for the State of California: California Department of Conservation, Division of Mines and Geology Open-File Report 96-08 (also U.S. Geological Open-File Report 96-706), 33 p.",1996,"Petersen, M.D., Bryant, W.A., Cramer, C.H., Cao, T., Reichle, M.S., Frankel, A.D., Lienkaemper, J.J., McCrory, P.A., and Schwartz, D.P.",1b
"Prentice, C.S., 1989, Earthquake geology of the northern San Andreas fault near Point Arena, California: Pasadena, California Institute of Technology, unpublished Ph.D. dissertation, 252 p.",1989,"Prentice, C.S.",1b
"Prentice, C.S., Langridge, R., and Merritts, D.J., 2000, Paleoseismic and Quaternary tectonic studies of the San Andreas fault from Shelter Cove to Fort Ross [abs.], <i>in</i> Bokelmann, G., and Kovach, R.L., ed., Proceedings of the Third Conference on Tectonic Problems of the San Andreas System: Palo Alto, California, Stanford University Publications, p. 249-350.",2000,"Prentice, C.S., Langridge, R., and Merritts, D.J.",1b
"Prentice, C.S., Niemi, T.N., and Hall, N.T., 1991, Quaternary tectonic studies of the northern San Andreas fault, San Francisco Peninsula, Point Reyes, and Point Arena, California [field trip guidebook]: California Division of Mines and Geology Special Publication 109, 25-34 p.",1991,"Prentice, C.S., Niemi, T.N., and Hall, N.T.",1b
"Prentice, C.S., Prescott, W.H., Langridge, R., and Dawson, T., 2001, New geologic and geodetic slip rate estimates on the north coast San Andreas fault—Approaching agreement? [abs.]: Seismological Research Letters, v. 72, no. 2, p. 282.",2001,"Prentice, C.S., Prescott, W.H., Langridge, R., and Dawson, T.",1b
"Prentice, C.S., and Sieh, K.E., 1988, Prehistoric seismic events on the northern San Andreas fault near Point Arena, California [abs.]: Eos, Transactions of the American Geophysical Union, v. 69, no. 16, p. 492.",1988,"Prentice, C.S., and Sieh, K.E.",1b
"Jacoby, G.C., Sheppard, P.R., and Sieh, K.E., 1988, Irregular recurrence of large earthquakes along the San Andreas fault—Evidence from trees: Science, v. 241, p. 196-199.",1988,"Jacoby, G.C., Sheppard, P.R., and Sieh, K.E.",1b
"Matti, J.C., and Morton, D.M., 1993, Paleogeographic evolution of the San Andreas fault in southern California—A reconstruction based on a new cross-fault correlation, <i>in</i> Powell, R.E., Weldon, R.J., II, and Matti, J.C., ed., The San Andreas fault system—Displacement, palinspastic reconstruction, and geologic evolution: Geological Society of America Memoir 178, p. 107-160.",1993,"Matti, J.C., and Morton, D.M.",1b
"Sims, J.D., 1993, Chronology of displacement on the San Andreas fault in central California—Evidence from reversed positions of exotic rock bodies near Parkfield, California, <i>in</i> Powell, R.E., Weldon, R.J., II, and Matti, J.C., ed., The San Andreas fault system—Displacement, palinspastic reconstruction, and geologic evolution: Geological Society of America Memoir 178, p. 231-256.",1993,"Sims, J.D.",1b
"Allen, C.R., 1957, San Andreas fault zone in San Gorgonio Pass, southern California: Geological Society of America Bulletin, v. 68, no. 3, p. 315-350.",1957,"Allen, C.R.",1b
"Toppozada, T.R., and Borchardt, G., 1998, Re-evaluation of the 1836 ""Hayward fault"" and the 1938 San Andreas fault earthquakes: Bulletin  of the Seismological Society of America, v. 88, no. 1, p. 140-159.",1998,"Toppozada, T.R., and Borchardt, G.",1b
"van der Woerd, J., Klinger, Y., Sieh, K., Tapponnier, P., and Ryerson, F.J., 2001, First long-term slip rate along the San Andreas fault based on 10Be-26Al surface exposure dating—The Biska Palms site, 23 mm/yr for the last 30,000 years [abs.]: Eos, Transactions of the American Geophysical Union, v. 82, p. 934.",2001,"van der Woerd, J., Klinger, Y., Sieh, K., Tapponnier, P., and Ryerson, F.J.",1b
"Dibblee, T.W., Jr., 1967, Geologic map of the Morongo Valley quadrangle San Bernardino and Riverside Counties, California: U.S. Geological Survey Miscellaneous Geologic Investigations Map I-517, 4 p. pamphlet, 1 sheet, scale 1:62,500.",1967,"Dibblee, T.W., Jr.",1b
"Sykes, L.R., and Nishenko, S.P., 1984, Probabilities of occurrence of large plate rupturing earthquakes for the San Andreas, San Jacinto, and Imperial faults, California: Journal of Geophysical Research, v. 89, no. B7, p. 5905-5927.",1984,"Sykes, L.R., and Nishenko, S.P.",1b
"Dibblee, T.W., Jr., 1981, Geologic map of the Palm Springs (15 minute) quadrangle, California: South Coast Geological Society, Geologic Map SCGS-3, scale 1:62,500.",1981,"Dibblee, T.W., Jr.",1b
"Schwartz, D.P., Pantosti, D., Okumura, K., Powers, T.J., and Hamilton, J.C., 1998, Paleoseismic investigations in the Santa Cruz Mountains, California—Implications for recurrence of large-magnitude earthquakes on the San Andrea fault: Journal of Geophysical Research, v. 103, no. B8, p. 17,985-18,001.",1998,"Schwartz, D.P., Pantosti, D., Okumura, K., Powers, T.J., and Hamilton, J.C.",1b
"Hart, E.W., and Bryant, W.A., 1997, Fault-rupture hazard zones in California: California Division of Mines and Geology Special Report 42, 38 p.",1997,"Hart, E.W., and Bryant, W.A.",1b
"Wallace, R.E., 1970, Earthquake recurrence intervals on the San Andreas fault: Geological Society of America Bulletin, v. 81, p. 2875–2890.",1970,"Wallace, R.E.",1b
"Anderson, F.M., 1899, The geology of Point Reyes Peninsula: Berkeley, California, University of California Publications in Geological Sciences, v. 2, p. 119-153.",1899,"Anderson, F.M.",1b
"Wallace, R.E., 1990, General features, <i>in</i> Wallace, R.E., ed., The San Andreas fault system: U.S. Geological Survey Professional Paper 1515, p. 3-12.",1990,"Wallace, R.E.",1b
"Lawson, A.C., 1893, The post-Pliocene diastrophism of the coast of southern California: Berkeley, California, University of California Publications in Geological Sciences, v. 1, p. 115-160.",1893,"Lawson, A.C.",1b
"Biasi, G.P., Weldon, R.J., II, Fumal, T.E., and Seitz, G.G., 2002, Paleoseismic event dating and the conditional probability of large earthquakes on the southern San Andreas fault, California: Bulletin of the Seismological Society of America, Special Issue on Paleoseismology of the San Andreas Fault System, v. 92, no. 7, p. 2761-2781.",2002,"Biasi, G.P., Weldon, R.J., II, Fumal, T.E., and Seitz, G.G.",1b
